,cycle_id,sampled_at,weight,sum_sample_g,sum_sample_kg,abw,abw_round,diff_d,diff_abw_round,diff_abw,adr_result_r,adr_result,id,pond_id,species_id,total_seed,started_at,finished_at,remark,created_at,updated_at,area,initial_age,limit_weight_per_area,target_cultivation_day,target_size,extracted_at,subscription_type,ordered_at,hatchery_id,total_seed_type,hatchery_name,pond_name,pond_length,pond_width,pond_depth,biomass_result,biomass_result_round
10,25649.0,2023-11-22,177.0,45.19774011299435,4.519774011299435e-05,8.17,8.0,10.0,1.0,1.17,0.1,0.11699999999999999,25649,43909,1.0,42500,2023-09-28 00:00:00.000,2023-12-02 00:00:00.000,#BD-Katalis04,2023-09-20 05:51:22.000,2023-12-15 14:26:34.000,2000.0,0.0,1.2,120.0,45.0,2024-04-12 17:02:22.000,Free,2023-09-20 05:51:22.000,1038.0,net,BAP Kalianda,3.24.6.1 (G),50.0,40.0,0.8,347225.0,340000.0
11,25649.0,2023-12-02,177.0,56.497175141242934,5.649717514124294e-05,10.0,10.0,10.0,2.0,1.83,0.2,0.183,25649,43909,1.0,42500,2023-09-28 00:00:00.000,2023-12-02 00:00:00.000,#BD-Katalis04,2023-09-20 05:51:22.000,2023-12-15 14:26:34.000,2000.0,0.0,1.2,120.0,45.0,2024-04-12 17:02:22.000,Free,2023-09-20 05:51:22.000,1038.0,net,BAP Kalianda,3.24.6.1 (G),50.0,40.0,0.8,425000.0,425000.0
12,25145.0,2023-09-27,1878.0,1.5974440894568689,1.5974440894568691e-06,2.69,3.0,0.0,0.0,0.0,0.0,0.0,25145,43250,1.0,522153,2023-08-20 00:00:00.000,2023-11-24 00:00:00.000,#BD-Katalis05,2023-08-29 06:38:56.000,2023-12-01 00:06:38.000,2500.0,0.0,1.25,120.0,50.0,2024-04-12 17:02:22.000,Free,2023-08-29 06:38:56.000,1001.0,actual,PT. Sinar Barru Prima,A16,50.0,50.0,1.2,1404591.57,1566459.0
13,25145.0,2023-09-27,80.0,37.5,3.7500000000000003e-05,2.69,3.0,0.0,0.0,0.0,0.0,0.0,25145,43250,1.0,522153,2023-08-20 00:00:00.000,2023-11-24 00:00:00.000,#BD-Katalis05,2023-08-29 06:38:56.000,2023-12-01 00:06:38.000,2500.0,0.0,1.25,120.0,50.0,2024-04-12 17:02:22.000,Free,2023-08-29 06:38:56.000,1001.0,actual,PT. Sinar Barru Prima,A16,50.0,50.0,1.2,1404591.57,1566459.0
14,25145.0,2023-09-27,213.0,14.084507042253522,1.4084507042253522e-05,2.69,3.0,0.0,0.0,0.0,0.0,0.0,25145,43250,1.0,522153,2023-08-20 00:00:00.000,2023-11-24 00:00:00.000,#BD-Katalis05,2023-08-29 06:38:56.000,2023-12-01 00:06:38.000,2500.0,0.0,1.25,120.0,50.0,2024-04-12 17:02:22.000,Free,2023-08-29 06:38:56.000,1001.0,actual,PT. Sinar Barru Prima,A16,50.0,50.0,1.2,1404591.57,1566459.0
15,25145.0,2023-09-27,25.0,120.0,0.00012,2.69,3.0,0.0,0.0,0.0,0.0,0.0,25145,43250,1.0,522153,2023-08-20 00:00:00.000,2023-11-24 00:00:00.000,#BD-Katalis05,2023-08-29 06:38:56.000,2023-12-01 00:06:38.000,2500.0,0.0,1.25,120.0,50.0,2024-04-12 17:02:22.000,Free,2023-08-29 06:38:56.000,1001.0,actual,PT. Sinar Barru Prima,A16,50.0,50.0,1.2,1404591.57,1566459.0
16,25145.0,2023-09-27,100.0,30.0,3e-05,2.69,3.0,0.0,0.0,0.0,0.0,0.0,25145,43250,1.0,522153,2023-08-20 00:00:00.000,2023-11-24 00:00:00.000,#BD-Katalis05,2023-08-29 06:38:56.000,2023-12-01 00:06:38.000,2500.0,0.0,1.25,120.0,50.0,2024-04-12 17:02:22.000,Free,2023-08-29 06:38:56.000,1001.0,actual,PT. Sinar Barru Prima,A16,50.0,50.0,1.2,1404591.57,1566459.0
17,25145.0,2023-09-27,996.0,3.0120481927710845,3.012048192771084e-06,2.69,3.0,0.0,0.0,0.0,0.0,0.0,25145,43250,1.0,522153,2023-08-20 00:00:00.000,2023-11-24 00:00:00.000,#BD-Katalis05,2023-08-29 06:38:56.000,2023-12-01 00:06:38.000,2500.0,0.0,1.25,120.0,50.0,2024-04-12 17:02:22.000,Free,2023-08-29 06:38:56.000,1001.0,actual,PT. Sinar Barru Prima,A16,50.0,50.0,1.2,1404591.57,1566459.0
18,14440.0,2022-03-23,151.8,19.762845849802368,1.9762845849802372e-05,3.0,3.0,0.0,0.0,0.0,0.0,0.0,14440,8,1.0,114000,2022-02-18 00:00:00.000,2022-04-17 00:00:00.000,#SiklusFarm,2022-02-19 00:24:40.000,2023-12-13 06:23:30.000,1574.0,0.0,1.25,120.0,45.0,2024-04-12 17:02:22.000,Free,2022-02-19 00:24:40.000,1003.0,actual,Gemilang Sukses Cemerlang,Kolam B8,48.5,33.0,1.1,342000.0,342000.0
19,14440.0,2022-03-30,151.8,26.350461133069828,2.6350461133069826e-05,4.0,4.0,7.0,1.0,1.0,0.14285714285714285,0.14285714285714285,14440,8,1.0,114000,2022-02-18 00:00:00.000,2022-04-17 00:00:00.000,#SiklusFarm,2022-02-19 00:24:40.000,2023-12-13 06:23:30.000,1574.0,0.0,1.25,120.0,45.0,2024-04-12 17:02:22.000,Free,2022-02-19 00:24:40.000,1003.0,actual,Gemilang Sukses Cemerlang,Kolam B8,48.5,33.0,1.1,456000.0,456000.0
20,14440.0,2022-04-06,151.8,39.525691699604735,3.9525691699604744e-05,5.7,6.0,7.0,2.0,1.7000000000000002,0.2857142857142857,0.24285714285714288,14440,8,1.0,114000,2022-02-18 00:00:00.000,2022-04-17 00:00:00.000,#SiklusFarm,2022-02-19 00:24:40.000,2023-12-13 06:23:30.000,1574.0,0.0,1.25,120.0,45.0,2024-04-12 17:02:22.000,Free,2022-02-19 00:24:40.000,1003.0,actual,Gemilang Sukses Cemerlang,Kolam B8,48.5,33.0,1.1,649800.0,684000.0
21,14440.0,2022-04-15,151.8,59.28853754940711,5.9288537549407106e-05,8.9,9.0,9.0,3.0,3.2,0.3333333333333333,0.35555555555555557,14440,8,1.0,114000,2022-02-18 00:00:00.000,2022-04-17 00:00:00.000,#SiklusFarm,2022-02-19 00:24:40.000,2023-12-13 06:23:30.000,1574.0,0.0,1.25,120.0,45.0,2024-04-12 17:02:22.000,Free,2022-02-19 00:24:40.000,1003.0,actual,Gemilang Sukses Cemerlang,Kolam B8,48.5,33.0,1.1,1014600.0,1026000.0
22,14440.0,2022-03-23,99.7,30.09027081243731,3.0090270812437313e-05,3.0,3.0,-23.0,-6.0,-5.9,0.2608695652173913,0.2565217391304348,14440,8,1.0,114000,2022-02-18 00:00:00.000,2022-04-17 00:00:00.000,#SiklusFarm,2022-02-19 00:24:40.000,2023-12-13 06:23:30.000,1574.0,0.0,1.25,120.0,45.0,2024-04-12 17:02:22.000,Free,2022-02-19 00:24:40.000,1003.0,actual,Gemilang Sukses Cemerlang,Kolam B8,48.5,33.0,1.1,342000.0,342000.0
23,14440.0,2022-03-30,99.7,40.12036108324975,4.012036108324975e-05,4.0,4.0,7.0,1.0,1.0,0.14285714285714285,0.14285714285714285,14440,8,1.0,114000,2022-02-18 00:00:00.000,2022-04-17 00:00:00.000,#SiklusFarm,2022-02-19 00:24:40.000,2023-12-13 06:23:30.000,1574.0,0.0,1.25,120.0,45.0,2024-04-12 17:02:22.000,Free,2022-02-19 00:24:40.000,1003.0,actual,Gemilang Sukses Cemerlang,Kolam B8,48.5,33.0,1.1,456000.0,456000.0
24,14440.0,2022-04-06,99.7,60.18054162487462,6.0180541624874626e-05,5.7,6.0,7.0,2.0,1.7000000000000002,0.2857142857142857,0.24285714285714288,14440,8,1.0,114000,2022-02-18 00:00:00.000,2022-04-17 00:00:00.000,#SiklusFarm,2022-02-19 00:24:40.000,2023-12-13 06:23:30.000,1574.0,0.0,1.25,120.0,45.0,2024-04-12 17:02:22.000,Free,2022-02-19 00:24:40.000,1003.0,actual,Gemilang Sukses Cemerlang,Kolam B8,48.5,33.0,1.1,649800.0,684000.0
25,14440.0,2022-04-15,99.7,90.27081243731193,9.027081243731193e-05,8.9,9.0,9.0,3.0,3.2,0.3333333333333333,0.35555555555555557,14440,8,1.0,114000,2022-02-18 00:00:00.000,2022-04-17 00:00:00.000,#SiklusFarm,2022-02-19 00:24:40.000,2023-12-13 06:23:30.000,1574.0,0.0,1.25,120.0,45.0,2024-04-12 17:02:22.000,Free,2022-02-19 00:24:40.000,1003.0,actual,Gemilang Sukses Cemerlang,Kolam B8,48.5,33.0,1.1,1014600.0,1026000.0
26,14440.0,2022-03-23,54.0,55.55555555555555,5.555555555555556e-05,3.0,3.0,-23.0,-6.0,-5.9,0.2608695652173913,0.2565217391304348,14440,8,1.0,114000,2022-02-18 00:00:00.000,2022-04-17 00:00:00.000,#SiklusFarm,2022-02-19 00:24:40.000,2023-12-13 06:23:30.000,1574.0,0.0,1.25,120.0,45.0,2024-04-12 17:02:22.000,Free,2022-02-19 00:24:40.000,1003.0,actual,Gemilang Sukses Cemerlang,Kolam B8,48.5,33.0,1.1,342000.0,342000.0
27,14440.0,2022-03-30,54.0,74.07407407407408,7.407407407407407e-05,4.0,4.0,7.0,1.0,1.0,0.14285714285714285,0.14285714285714285,14440,8,1.0,114000,2022-02-18 00:00:00.000,2022-04-17 00:00:00.000,#SiklusFarm,2022-02-19 00:24:40.000,2023-12-13 06:23:30.000,1574.0,0.0,1.25,120.0,45.0,2024-04-12 17:02:22.000,Free,2022-02-19 00:24:40.000,1003.0,actual,Gemilang Sukses Cemerlang,Kolam B8,48.5,33.0,1.1,456000.0,456000.0
28,14440.0,2022-04-06,54.0,111.1111111111111,0.00011111111111111112,5.7,6.0,7.0,2.0,1.7000000000000002,0.2857142857142857,0.24285714285714288,14440,8,1.0,114000,2022-02-18 00:00:00.000,2022-04-17 00:00:00.000,#SiklusFarm,2022-02-19 00:24:40.000,2023-12-13 06:23:30.000,1574.0,0.0,1.25,120.0,45.0,2024-04-12 17:02:22.000,Free,2022-02-19 00:24:40.000,1003.0,actual,Gemilang Sukses Cemerlang,Kolam B8,48.5,33.0,1.1,649800.0,684000.0
29,14440.0,2022-04-15,54.0,166.66666666666666,0.00016666666666666666,8.9,9.0,9.0,3.0,3.2,0.3333333333333333,0.35555555555555557,14440,8,1.0,114000,2022-02-18 00:00:00.000,2022-04-17 00:00:00.000,#SiklusFarm,2022-02-19 00:24:40.000,2023-12-13 06:23:30.000,1574.0,0.0,1.25,120.0,45.0,2024-04-12 17:02:22.000,Free,2022-02-19 00:24:40.000,1003.0,actual,Gemilang Sukses Cemerlang,Kolam B8,48.5,33.0,1.1,1014600.0,1026000.0
30,14440.0,2022-03-23,3.0,1000.0,0.001,3.0,3.0,-23.0,-6.0,-5.9,0.2608695652173913,0.2565217391304348,14440,8,1.0,114000,2022-02-18 00:00:00.000,2022-04-17 00:00:00.000,#SiklusFarm,2022-02-19 00:24:40.000,2023-12-13 06:23:30.000,1574.0,0.0,1.25,120.0,45.0,2024-04-12 17:02:22.000,Free,2022-02-19 00:24:40.000,1003.0,actual,Gemilang Sukses Cemerlang,Kolam B8,48.5,33.0,1.1,342000.0,342000.0
31,14440.0,2022-03-30,3.0,1333.3333333333333,0.0013333333333333333,4.0,4.0,7.0,1.0,1.0,0.14285714285714285,0.14285714285714285,14440,8,1.0,114000,2022-02-18 00:00:00.000,2022-04-17 00:00:00.000,#SiklusFarm,2022-02-19 00:24:40.000,2023-12-13 06:23:30.000,1574.0,0.0,1.25,120.0,45.0,2024-04-12 17:02:22.000,Free,2022-02-19 00:24:40.000,1003.0,actual,Gemilang Sukses Cemerlang,Kolam B8,48.5,33.0,1.1,456000.0,456000.0
32,14440.0,2022-04-06,3.0,2000.0,0.002,5.7,6.0,7.0,2.0,1.7000000000000002,0.2857142857142857,0.24285714285714288,14440,8,1.0,114000,2022-02-18 00:00:00.000,2022-04-17 00:00:00.000,#SiklusFarm,2022-02-19 00:24:40.000,2023-12-13 06:23:30.000,1574.0,0.0,1.25,120.0,45.0,2024-04-12 17:02:22.000,Free,2022-02-19 00:24:40.000,1003.0,actual,Gemilang Sukses Cemerlang,Kolam B8,48.5,33.0,1.1,649800.0,684000.0
33,14440.0,2022-04-15,3.0,3000.0,0.0029999999999999996,8.9,9.0,9.0,3.0,3.2,0.3333333333333333,0.35555555555555557,14440,8,1.0,114000,2022-02-18 00:00:00.000,2022-04-17 00:00:00.000,#SiklusFarm,2022-02-19 00:24:40.000,2023-12-13 06:23:30.000,1574.0,0.0,1.25,120.0,45.0,2024-04-12 17:02:22.000,Free,2022-02-19 00:24:40.000,1003.0,actual,Gemilang Sukses Cemerlang,Kolam B8,48.5,33.0,1.1,1014600.0,1026000.0
34,14437.0,2022-03-23,378.5,10.568031704095112,1.0568031704095112e-05,3.6,4.0,0.0,0.0,0.0,0.0,0.0,14437,5,1.0,114000,2022-02-18 00:00:00.000,2022-05-23 00:00:00.000,#SiklusFarm,2022-02-19 00:24:34.000,2023-12-13 06:20:06.000,1574.0,0.0,1.25,120.0,45.0,2024-04-12 17:02:22.000,Free,2022-02-19 00:24:34.000,1003.0,actual,Gemilang Sukses Cemerlang,Kolam B5,45.81,34.36,1.1,410400.0,456000.0
35,14437.0,2022-03-30,378.5,13.21003963011889,1.3210039630118891e-05,5.1,5.0,7.0,1.0,1.4999999999999996,0.14285714285714285,0.21428571428571422,14437,5,1.0,114000,2022-02-18 00:00:00.000,2022-05-23 00:00:00.000,#SiklusFarm,2022-02-19 00:24:34.000,2023-12-13 06:20:06.000,1574.0,0.0,1.25,120.0,45.0,2024-04-12 17:02:22.000,Free,2022-02-19 00:24:34.000,1003.0,actual,Gemilang Sukses Cemerlang,Kolam B5,45.81,34.36,1.1,581400.0,570000.0
36,14437.0,2022-04-06,378.5,18.49405548216645,1.8494055482166448e-05,7.1,7.0,7.0,2.0,2.0,0.2857142857142857,0.2857142857142857,14437,5,1.0,114000,2022-02-18 00:00:00.000,2022-05-23 00:00:00.000,#SiklusFarm,2022-02-19 00:24:34.000,2023-12-13 06:20:06.000,1574.0,0.0,1.25,120.0,45.0,2024-04-12 17:02:22.000,Free,2022-02-19 00:24:34.000,1003.0,actual,Gemilang Sukses Cemerlang,Kolam B5,45.81,34.36,1.1,809400.0,798000.0
37,14437.0,2022-04-14,378.5,26.42007926023778,2.6420079260237782e-05,9.8,10.0,8.0,3.0,2.700000000000001,0.375,0.33750000000000013,14437,5,1.0,114000,2022-02-18 00:00:00.000,2022-05-23 00:00:00.000,#SiklusFarm,2022-02-19 00:24:34.000,2023-12-13 06:20:06.000,1574.0,0.0,1.25,120.0,45.0,2024-04-12 17:02:22.000,Free,2022-02-19 00:24:34.000,1003.0,actual,Gemilang Sukses Cemerlang,Kolam B5,45.81,34.36,1.1,1117200.0,1140000.0
38,14437.0,2022-04-21,378.5,34.34610303830912,3.434610303830911e-05,13.0,13.0,7.0,3.0,3.1999999999999993,0.42857142857142855,0.457142857142857,14437,5,1.0,114000,2022-02-18 00:00:00.000,2022-05-23 00:00:00.000,#SiklusFarm,2022-02-19 00:24:34.000,2023-12-13 06:20:06.000,1574.0,0.0,1.25,120.0,45.0,2024-04-12 17:02:22.000,Free,2022-02-19 00:24:34.000,1003.0,actual,Gemilang Sukses Cemerlang,Kolam B5,45.81,34.36,1.1,1482000.0,1482000.0
39,14437.0,2022-04-28,378.5,44.91413474240423,4.491413474240423e-05,16.7,17.0,7.0,4.0,3.6999999999999993,0.5714285714285714,0.5285714285714285,14437,5,1.0,114000,2022-02-18 00:00:00.000,2022-05-23 00:00:00.000,#SiklusFarm,2022-02-19 00:24:34.000,2023-12-13 06:20:06.000,1574.0,0.0,1.25,120.0,45.0,2024-04-12 17:02:22.000,Free,2022-02-19 00:24:34.000,1003.0,actual,Gemilang Sukses Cemerlang,Kolam B5,45.81,34.36,1.1,1903800.0,1938000.0
40,14437.0,2022-05-05,378.5,52.84015852047556,5.2840158520475564e-05,19.6,20.0,7.0,3.0,2.900000000000002,0.42857142857142855,0.4142857142857146,14437,5,1.0,114000,2022-02-18 00:00:00.000,2022-05-23 00:00:00.000,#SiklusFarm,2022-02-19 00:24:34.000,2023-12-13 06:20:06.000,1574.0,0.0,1.25,120.0,45.0,2024-04-12 17:02:22.000,Free,2022-02-19 00:24:34.000,1003.0,actual,Gemilang Sukses Cemerlang,Kolam B5,45.81,34.36,1.1,2234400.0,2280000.0
41,14437.0,2022-05-05,378.5,52.84015852047556,5.2840158520475564e-05,19.6,20.0,0.0,0.0,0.0,0.0,0.0,14437,5,1.0,114000,2022-02-18 00:00:00.000,2022-05-23 00:00:00.000,#SiklusFarm,2022-02-19 00:24:34.000,2023-12-13 06:20:06.000,1574.0,0.0,1.25,120.0,45.0,2024-04-12 17:02:22.000,Free,2022-02-19 00:24:34.000,1003.0,actual,Gemilang Sukses Cemerlang,Kolam B5,45.81,34.36,1.1,2234400.0,2280000.0
42,14437.0,2022-05-12,378.5,60.766182298546894,6.07661822985469e-05,22.7,23.0,7.0,3.0,3.099999999999998,0.42857142857142855,0.44285714285714256,14437,5,1.0,114000,2022-02-18 00:00:00.000,2022-05-23 00:00:00.000,#SiklusFarm,2022-02-19 00:24:34.000,2023-12-13 06:20:06.000,1574.0,0.0,1.25,120.0,45.0,2024-04-12 17:02:22.000,Free,2022-02-19 00:24:34.000,1003.0,actual,Gemilang Sukses Cemerlang,Kolam B5,45.81,34.36,1.1,2587800.0,2622000.0
43,14437.0,2022-05-19,378.5,66.05019815059445,6.605019815059445e-05,25.0,25.0,7.0,2.0,2.3000000000000007,0.2857142857142857,0.3285714285714287,14437,5,1.0,114000,2022-02-18 00:00:00.000,2022-05-23 00:00:00.000,#SiklusFarm,2022-02-19 00:24:34.000,2023-12-13 06:20:06.000,1574.0,0.0,1.25,120.0,45.0,2024-04-12 17:02:22.000,Free,2022-02-19 00:24:34.000,1003.0,actual,Gemilang Sukses Cemerlang,Kolam B5,45.81,34.36,1.1,2850000.0,2850000.0
44,14437.0,2022-03-23,10.0,400.0,0.0004,3.6,4.0,-57.0,-21.0,-21.4,0.3684210526315789,0.37543859649122807,14437,5,1.0,114000,2022-02-18 00:00:00.000,2022-05-23 00:00:00.000,#SiklusFarm,2022-02-19 00:24:34.000,2023-12-13 06:20:06.000,1574.0,0.0,1.25,120.0,45.0,2024-04-12 17:02:22.000,Free,2022-02-19 00:24:34.000,1003.0,actual,Gemilang Sukses Cemerlang,Kolam B5,45.81,34.36,1.1,410400.0,456000.0
45,14437.0,2022-03-30,10.0,500.0,0.0005,5.1,5.0,7.0,1.0,1.4999999999999996,0.14285714285714285,0.21428571428571422,14437,5,1.0,114000,2022-02-18 00:00:00.000,2022-05-23 00:00:00.000,#SiklusFarm,2022-02-19 00:24:34.000,2023-12-13 06:20:06.000,1574.0,0.0,1.25,120.0,45.0,2024-04-12 17:02:22.000,Free,2022-02-19 00:24:34.000,1003.0,actual,Gemilang Sukses Cemerlang,Kolam B5,45.81,34.36,1.1,581400.0,570000.0
46,14437.0,2022-04-06,10.0,700.0,0.0007,7.1,7.0,7.0,2.0,2.0,0.2857142857142857,0.2857142857142857,14437,5,1.0,114000,2022-02-18 00:00:00.000,2022-05-23 00:00:00.000,#SiklusFarm,2022-02-19 00:24:34.000,2023-12-13 06:20:06.000,1574.0,0.0,1.25,120.0,45.0,2024-04-12 17:02:22.000,Free,2022-02-19 00:24:34.000,1003.0,actual,Gemilang Sukses Cemerlang,Kolam B5,45.81,34.36,1.1,809400.0,798000.0
47,14437.0,2022-04-14,10.0,1000.0,0.001,9.8,10.0,8.0,3.0,2.700000000000001,0.375,0.33750000000000013,14437,5,1.0,114000,2022-02-18 00:00:00.000,2022-05-23 00:00:00.000,#SiklusFarm,2022-02-19 00:24:34.000,2023-12-13 06:20:06.000,1574.0,0.0,1.25,120.0,45.0,2024-04-12 17:02:22.000,Free,2022-02-19 00:24:34.000,1003.0,actual,Gemilang Sukses Cemerlang,Kolam B5,45.81,34.36,1.1,1117200.0,1140000.0
48,14437.0,2022-04-21,10.0,1300.0,0.0013,13.0,13.0,7.0,3.0,3.1999999999999993,0.42857142857142855,0.457142857142857,14437,5,1.0,114000,2022-02-18 00:00:00.000,2022-05-23 00:00:00.000,#SiklusFarm,2022-02-19 00:24:34.000,2023-12-13 06:20:06.000,1574.0,0.0,1.25,120.0,45.0,2024-04-12 17:02:22.000,Free,2022-02-19 00:24:34.000,1003.0,actual,Gemilang Sukses Cemerlang,Kolam B5,45.81,34.36,1.1,1482000.0,1482000.0
49,14437.0,2022-04-28,10.0,1700.0,0.0017000000000000001,16.7,17.0,7.0,4.0,3.6999999999999993,0.5714285714285714,0.5285714285714285,14437,5,1.0,114000,2022-02-18 00:00:00.000,2022-05-23 00:00:00.000,#SiklusFarm,2022-02-19 00:24:34.000,2023-12-13 06:20:06.000,1574.0,0.0,1.25,120.0,45.0,2024-04-12 17:02:22.000,Free,2022-02-19 00:24:34.000,1003.0,actual,Gemilang Sukses Cemerlang,Kolam B5,45.81,34.36,1.1,1903800.0,1938000.0
50,14437.0,2022-05-05,10.0,2000.0,0.002,19.6,20.0,7.0,3.0,2.900000000000002,0.42857142857142855,0.4142857142857146,14437,5,1.0,114000,2022-02-18 00:00:00.000,2022-05-23 00:00:00.000,#SiklusFarm,2022-02-19 00:24:34.000,2023-12-13 06:20:06.000,1574.0,0.0,1.25,120.0,45.0,2024-04-12 17:02:22.000,Free,2022-02-19 00:24:34.000,1003.0,actual,Gemilang Sukses Cemerlang,Kolam B5,45.81,34.36,1.1,2234400.0,2280000.0
51,14437.0,2022-05-05,10.0,2000.0,0.002,19.6,20.0,0.0,0.0,0.0,0.0,0.0,14437,5,1.0,114000,2022-02-18 00:00:00.000,2022-05-23 00:00:00.000,#SiklusFarm,2022-02-19 00:24:34.000,2023-12-13 06:20:06.000,1574.0,0.0,1.25,120.0,45.0,2024-04-12 17:02:22.000,Free,2022-02-19 00:24:34.000,1003.0,actual,Gemilang Sukses Cemerlang,Kolam B5,45.81,34.36,1.1,2234400.0,2280000.0
