,cycle_id,ekor,total_seed,total_seed_type,sr%
382,27612,0,40.0,0,0.0
383,27605,1,100.0,0,0.001
384,27605,0,100.0,0,0.0
385,27605,0,100.0,0,0.0
386,27605,3,100.0,0,0.003
387,27153,2,112.5,1,0.0017777777777777776
388,27153,0,112.5,1,0.0
389,18607,5,290.4,1,0.0017217630853994489
390,18607,0,290.4,1,0.0
391,18607,6,290.4,1,0.002066115702479339
392,18607,0,290.4,1,0.0
393,18607,8,290.4,1,0.0027548209366391185
394,18607,0,290.4,1,0.0
395,28492,1,70.0,0,0.0014285714285714286
396,18615,0,230.49,1,0.0
397,18615,0,230.49,1,0.0
398,18468,3,250.0,0,0.0012000000000000001
399,18468,3,250.0,0,0.0012000000000000001
400,18829,0,175.0,0,0.0
401,17042,0,80.0,gross,0.0
402,20979,1,267.019,0,0.00037450518502428666
403,20979,3,267.019,0,0.0011235155550728601
404,20979,4,267.019,0,0.0014980207400971466
405,20979,6,267.019,0,0.0022470311101457203
406,20979,49,267.019,0,0.018350754066190047
407,18832,1,270.0,0,0.00037037037037037035
408,18832,0,270.0,0,0.0
409,18832,4,270.0,0,0.0014814814814814814
410,20618,1,240.0,0,0.0004166666666666667
411,25444,1,40.0,0,0.0025
412,22963,3,100.0,0,0.003
413,24154,1,100.0,0,0.001
414,24154,2,100.0,0,0.002
415,24154,4,100.0,0,0.004
416,24154,26,100.0,0,0.026
417,20151,2,240.0,0,0.0008333333333333334
418,20151,15,240.0,0,0.00625
419,20151,0,240.0,0,0.0
420,20151,0,240.0,0,0.0
421,15805,3,88.0,1,0.0034090909090909094
422,15805,0,88.0,1,0.0
423,15805,0,88.0,1,0.0
424,15805,1,88.0,1,0.0011363636363636363
425,19874,0,180.0,1,0.0
426,19874,0,180.0,1,0.0
427,19874,0,180.0,1,0.0
428,19874,0,180.0,1,0.0
429,19874,0,180.0,1,0.0
430,19874,0,180.0,1,0.0
431,19874,0,180.0,1,0.0
432,19874,14,180.0,1,0.007777777777777778
433,19874,0,180.0,1,0.0
434,19874,0,180.0,1,0.0
435,16271,4,175.0,0,0.002285714285714286
436,14439,4,114.0,1,0.003508771929824561
437,14439,0,114.0,1,0.0
438,14439,0,114.0,1,0.0
439,15802,2,130.0,0,0.0015384615384615385
440,15802,0,130.0,0,0.0
441,15802,3,130.0,0,0.0023076923076923075
442,15802,4,130.0,0,0.003076923076923077
443,15802,2,130.0,0,0.0015384615384615385
444,15802,34,130.0,0,0.026153846153846156
445,16563,5,100.0,0,0.005
446,16563,12,100.0,0,0.012
447,25551,1,80.0,0,0.00125
448,27151,1,120.0,1,0.0008333333333333334
449,16588,0,150.0,gross,0.0
450,16588,4,150.0,gross,0.0026666666666666666
451,17857,1,100.0,0,0.001
452,16802,0,100.0,0,0.0
453,25580,0,25.5,0,0.0
454,28493,1,60.0,0,0.0016666666666666668
455,19672,5,192.0,1,0.002604166666666667
456,19672,0,192.0,1,0.0
457,19672,6,192.0,1,0.003125
458,19672,0,192.0,1,0.0
459,19672,0,192.0,1,0.0
460,29111,0,110.0,0,0.0
461,18608,2,265.95,1,0.0007520210565895845
462,18608,0,265.95,1,0.0
463,18608,0,265.95,1,0.0
464,18751,9,509.04,1,0.001768033946251768
465,19294,2,312.047,1,0.0006409290908100382
466,19294,0,312.047,1,0.0
467,19294,0,312.047,1,0.0
468,19294,3,312.047,1,0.0009613936362150573
469,19294,0,312.047,1,0.0
470,19294,11,312.047,1,0.00352510999945521
471,19294,0,312.047,1,0.0
472,19294,1,312.047,1,0.0003204645454050191
473,19294,0,312.047,1,0.0
474,19508,0,50.0,1,0.0
475,16170,0,140.0,gross,0.0
476,18248,0,50.0,0,0.0
477,18733,10,436.32,1,0.0022918958562522917
478,27544,0,80.0,0,0.0
479,27544,4,80.0,0,0.005
480,27555,1,170.0,0,0.0005882352941176471
481,27555,0,170.0,0,0.0
482,27555,5,170.0,0,0.0029411764705882353
483,18142,10,175.0,0,0.005714285714285714
