,cycle_id,sampled_at,weight,sum_sample_g,sum_sample_kg,abw,abw_round
4057,16067.0,2022-07-31,118.0,33.898305084745765,3.389830508474576e-05,3.6,4.0
4058,16067.0,2022-08-10,118.0,59.32203389830509,5.932203389830509e-05,6.61,7.0
4059,16067.0,2022-08-20,118.0,76.27118644067797,7.627118644067796e-05,8.65,9.0
4060,16067.0,2022-09-07,118.0,118.64406779661017,0.00011864406779661017,13.78,14.0
4061,16067.0,2022-09-15,118.0,135.59322033898306,0.00013559322033898305,15.7,16.0
4062,16067.0,2022-07-21,118.0,16.949152542372882,1.694915254237288e-05,1.5,2.0
4063,16067.0,2022-07-31,118.0,33.898305084745765,3.389830508474576e-05,3.6,4.0
4064,16067.0,2022-08-10,118.0,59.32203389830509,5.932203389830509e-05,6.61,7.0
4065,16067.0,2022-08-20,118.0,76.27118644067797,7.627118644067796e-05,8.65,9.0
4066,16067.0,2022-09-07,118.0,118.64406779661017,0.00011864406779661017,13.78,14.0
4067,16067.0,2022-09-15,118.0,135.59322033898306,0.00013559322033898305,15.7,16.0
4068,16067.0,2022-07-21,25.0,80.0,8e-05,1.5,2.0
4069,16067.0,2022-07-31,25.0,160.0,0.00016,3.6,4.0
4070,16067.0,2022-08-10,25.0,280.0,0.00028000000000000003,6.61,7.0
4071,16067.0,2022-08-20,25.0,360.0,0.00035999999999999997,8.65,9.0
4072,16067.0,2022-09-07,25.0,560.0,0.0005600000000000001,13.78,14.0
4073,16067.0,2022-09-15,25.0,640.0,0.00064,15.7,16.0
4074,16067.0,2022-07-21,307.0,6.514657980456026,6.5146579804560266e-06,1.5,2.0
4075,16067.0,2022-07-31,307.0,13.029315960912053,1.3029315960912053e-05,3.6,4.0
4076,16067.0,2022-08-10,307.0,22.80130293159609,2.2801302931596092e-05,6.61,7.0
4077,16067.0,2022-08-20,307.0,29.315960912052116,2.9315960912052114e-05,8.65,9.0
4078,16067.0,2022-09-07,307.0,45.60260586319218,4.5602605863192184e-05,13.78,14.0
4079,16067.0,2022-09-15,307.0,52.11726384364821,5.211726384364821e-05,15.7,16.0
4080,26221.0,2023-12-11,253.3,7.895775759968417,7.895775759968418e-06,1.57,2.0
4081,26221.0,2023-12-16,253.3,7.895775759968417,7.895775759968418e-06,2.2,2.0
4082,26221.0,2023-12-21,253.3,11.843663639952625,1.1843663639952625e-05,3.0,3.0
